Economy,Economy Code,Gallup World Poll identifier,Weight,Respondent is female,Respondent age,Respondent education level,Within-economy household income quintile,Has an account,Has an account at a financial institution,Has a mobile money account,Has a debit card,If has debit card: card in own name,If has debit card: used card in past 12 months,Has a credit card,If has credit card: used card in past 12 months,If does not have account: b/c too far away,If does not have account: b/c too expensive,If does not have account: b/c lack documentation,If does not have account: b/c lack trust,If does not have account: b/c religious reasons,If does not have account: b/c lack of money,If does not have account: b/c family member already has one,If does not have account: b/c cannot get one,If does not have account: b/c no need for financial services,If has account: any deposit into account in past 12 months,If has any deposit into account: number of monthly deposits,If has account: any withdrawal from account in past 12 months,If has any withdrawal from account: number of monthly withdrawals,If has account: most frequent mode of cash withdrawal,If has account: made a transaction using a mobile phone,Made payments online using the Internet,Saved in past 12 months: for farm/business purposes,Saved in past 12 months: for old age,Saved in past 12 months: for education or school fees,Saved in past 12 months: using an account at a financial institution,Saved in past 12 months: using an informal savings club,"Has loan from a financial institution for house, apartment, or land",Borrowed in past 12 months: from a financial institution,Borrowed in past 12 months: from a store (store credit),Borrowed in past 12 months: from family or friends,Borrowed in past 12 months: from another private lender,Borrowed in past 12 months: for education or school fees,Borrowed in past 12 months: for medical purposes,Borrowed in past 12 months: for farm/business purposes,Possibility of coming up with emergency funds,If able to come up with emergency funds: main source,Sent domestic remittances in past 12 months,If sent domestic remittances: in cash,If sent domestic remittances: through a financial institution,If sent domestic remittances: through a mobile phone,If sent domestic remittances: through an MTO,Received domestic remittances in past 12 months,If received domestic remittances: in cash,If received domestic remittances: through a financial institution,If received domestic remittances: through a mobile phone,If received domestic remittances: through an MTO,Paid utility bills in past 12 months,If paid utility bills: in cash,If paid utility bills: using an account,If paid utility bills: through a mobile phone,Paid school fees in past 12 months,If paid school fees: in cash,If paid school fees: using an account,If paid school fees: through a mobile phone,Received wage payments in past 12 months,If received wage payments: work in public sector,If received wage payments: in cash,If received wage payments: into an account or to a card,If received wage payments: through a mobile phone,If received cashless wage payments: account use,If received cashless wage payments: account type,Received government transfers in past 12 months,If received government transfers: in cash,If received government transfers: into an account or to a card,If received government transfers: through a mobile phone,If received cashless government transfers: account use,If received cashless government transfers: account type,Received agricultural payments in past 12 months,If received agricultural payments: in cash,If received agricultural payments: into an account,If received agricultural payments: through a mobile phone,Saved in the past year,Borrowed in the past year
Tanzania,TZA,174738832,1.124806893,1 male,79,completed primary or less,1 poorest 20%,no,no,no,no,,,no,,no,no,no,no,yes,no,no,no,no,,,,,,,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
Tanzania,TZA,171858118,0.421606586,2 female,31,secondary,2 second 20%,no,no,no,no,,,no,,yes,no,no,no,no,yes,no,no,no,,,,,,,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,4 not at all possible,,no,,,,,no,,,,,no,,,,yes,no,no,no,no,,,,,,,no,,,,,,yes,yes,no,no,yes,no
Tanzania,TZA,151813885,0.949762226,1 male,36,completed primary or less,1 poorest 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,4 not at all possible,,no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,no,yes
Tanzania,TZA,134664151,0.949762226,1 male,40,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,yes,1 very possible,6 some other source,yes,yes,no,yes,no,no,,,,,no,,,,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,yes
Tanzania,TZA,120619299,0.661022459,1 male,34,completed primary or less,2 second 20%,yes,no,yes,no,,,no,,no,no,no,no,no,yes,no,no,no,,,,,,,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,1 very possible,1 savings,yes,yes,no,yes,no,yes,yes,no,yes,no,no,,,,yes,yes,no,no,no,,,,,,,no,,,,,,yes,yes,no,yes,yes,yes
Tanzania,TZA,202035180,0.624584016,2 female,26,completed primary or less,2 second 20%,no,no,no,no,,,no,,yes,no,no,no,no,yes,no,yes,yes,,,,,,,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,no,,,,yes,yes,no,no,no,,,,,,,no,,,,,,yes,no,no,no,yes,yes
Tanzania,TZA,120326619,1.040673651,1 male,29,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,no,yes
Tanzania,TZA,208618193,1.535499955,1 male,49,completed primary or less,2 second 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,4 not at all possible,,no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
Tanzania,TZA,151231414,0.421606586,2 female,26,secondary,5 richest 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,yes,no,yes,yes,no,no,,,,,yes,yes,(dk),yes,no,,,,yes,no,yes,yes,yes,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,no
Tanzania,TZA,166594779,0.661022459,1 male,30,completed primary or less,4 fourth 20%,yes,no,yes,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,no,no
Tanzania,TZA,176835626,1.594203942,2 female,63,completed primary or less,1 poorest 20%,yes,no,yes,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,5 (dk),,no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
Tanzania,TZA,198316807,0.632409878,2 female,30,secondary,5 richest 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,1 very possible,1 savings,yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,,,,,,,no,,,,,,yes,yes,no,yes,yes,yes
Tanzania,TZA,126080520,0.426914476,2 female,24,completed primary or less,1 poorest 20%,yes,no,yes,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,3 not very possible,1 savings,no,,,,,no,,,,,yes,yes,no,yes,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
Tanzania,TZA,193213466,0.421606586,2 female,28,secondary,3 middle 20%,yes,no,yes,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,yes,no,no,yes,no,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
Tanzania,TZA,160948007,0.900792477,1 male,23,secondary,2 second 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,no,,no,,1 you get it at an atm,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,1 very possible,1 savings,no,,,,,yes,no,no,yes,no,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
Tanzania,TZA,191053307,0.567424576,2 female,17,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",yes,yes,no,no,no,no,,,,,yes,yes,no,no,yes,yes,yes,no,no,,,,,,,no,,,,,,yes,no,no,yes,yes,yes
Tanzania,TZA,203983037,0.975329735,1 male,50,completed primary or less,3 middle 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,yes,no
