Economy,Economy Code,Gallup World Poll identifier,Weight,Respondent is female,Respondent age,Respondent education level,Within-economy household income quintile,Has an account,Has an account at a financial institution,Has a mobile money account,Has a debit card,If has debit card: card in own name,If has debit card: used card in past 12 months,Has a credit card,If has credit card: used card in past 12 months,If does not have account: b/c too far away,If does not have account: b/c too expensive,If does not have account: b/c lack documentation,If does not have account: b/c lack trust,If does not have account: b/c religious reasons,If does not have account: b/c lack of money,If does not have account: b/c family member already has one,If does not have account: b/c cannot get one,If does not have account: b/c no need for financial services,If has account: any deposit into account in past 12 months,If has any deposit into account: number of monthly deposits,If has account: any withdrawal from account in past 12 months,If has any withdrawal from account: number of monthly withdrawals,If has account: most frequent mode of cash withdrawal,If has account: made a transaction using a mobile phone,Made payments online using the Internet,Saved in past 12 months: for farm/business purposes,Saved in past 12 months: for old age,Saved in past 12 months: for education or school fees,Saved in past 12 months: using an account at a financial institution,Saved in past 12 months: using an informal savings club,"Has loan from a financial institution for house, apartment, or land",Borrowed in past 12 months: from a financial institution,Borrowed in past 12 months: from a store (store credit),Borrowed in past 12 months: from family or friends,Borrowed in past 12 months: from another private lender,Borrowed in past 12 months: for education or school fees,Borrowed in past 12 months: for medical purposes,Borrowed in past 12 months: for farm/business purposes,Possibility of coming up with emergency funds,If able to come up with emergency funds: main source,Sent domestic remittances in past 12 months,If sent domestic remittances: in cash,If sent domestic remittances: through a financial institution,If sent domestic remittances: through a mobile phone,If sent domestic remittances: through an MTO,Received domestic remittances in past 12 months,If received domestic remittances: in cash,If received domestic remittances: through a financial institution,If received domestic remittances: through a mobile phone,If received domestic remittances: through an MTO,Paid utility bills in past 12 months,If paid utility bills: in cash,If paid utility bills: using an account,If paid utility bills: through a mobile phone,Paid school fees in past 12 months,If paid school fees: in cash,If paid school fees: using an account,If paid school fees: through a mobile phone,Received wage payments in past 12 months,If received wage payments: work in public sector,If received wage payments: in cash,If received wage payments: into an account or to a card,If received wage payments: through a mobile phone,If received cashless wage payments: account use,If received cashless wage payments: account type,Received government transfers in past 12 months,If received government transfers: in cash,If received government transfers: into an account or to a card,If received government transfers: through a mobile phone,If received cashless government transfers: account use,If received cashless government transfers: account type,Received agricultural payments in past 12 months,If received agricultural payments: in cash,If received agricultural payments: into an account,If received agricultural payments: through a mobile phone,Saved in the past year,Borrowed in the past year
Uganda,UGA,113512727,0.402678371,2 female,24,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,1 very possible,3 money from working or a loan from an employer,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,,,,no,,,,,,,no,,,,,,yes,yes,no,yes,yes,yes
Uganda,UGA,163459263,0.282481533,2 female,48,secondary,5 richest 20%,yes,yes,yes,no,,,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,2 you get it over the counter in a branch of your financial institution,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,1 very possible,3 money from working or a loan from an employer,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,,,,,,,no,,,,,,no,,,,yes,yes
Uganda,UGA,177743154,0.4237223,1 male,34,secondary,5 richest 20%,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,1 very possible,3 money from working or a loan from an employer,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,yes,yes,yes,yes,yes,yes
Uganda,UGA,198023387,0.316204388,2 female,35,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,yes,no,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,1 very possible,3 money from working or a loan from an employer,yes,yes,yes,yes,no,no,,,,,yes,no,yes,yes,yes,yes,yes,no,no,,,,,,,no,,,,,,yes,yes,no,yes,yes,yes
Uganda,UGA,168483949,0.4237223,1 male,25,secondary,1 poorest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,3 money is not deposited in a typical month,yes,3 money is not taken out in a typical month,1 you get it at an atm,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,1 very possible,"2 family, relatives, or friends",no,,,,,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,,,,,,,no,,,,,,no,,,,yes,yes
Uganda,UGA,210636909,0.360069464,1 male,56,completed tertiary or more,5 richest 20%,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,1 very possible,3 money from working or a loan from an employer,yes,yes,yes,yes,yes,no,,,,,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,2 over time as needed,"2 you had an account before, but this account was opened so you could receive payments from an employer.",no,,,,,,yes,yes,yes,yes,yes,yes
Uganda,UGA,148487353,0.282481533,1 male,34,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,1 very possible,3 money from working or a loan from an employer,yes,yes,no,yes,no,no,,,,,yes,no,yes,yes,yes,yes,yes,no,no,,,,,,,no,,,,,,yes,yes,yes,yes,yes,yes
Uganda,UGA,135674246,1.076668454,1 male,70,completed primary or less,5 richest 20%,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,1 very possible,3 money from working or a loan from an employer,yes,yes,yes,yes,yes,no,,,,,yes,no,yes,yes,no,,,,no,,,,,,,no,,,,,,yes,yes,yes,no,yes,yes
Uganda,UGA,152257382,0.837291671,1 male,20,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,no,yes,,,,,,,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,1 very possible,3 money from working or a loan from an employer,yes,yes,no,yes,no,yes,yes,no,no,no,no,,,,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
Uganda,UGA,143074919,1.223446341,1 male,25,completed primary or less,3 middle 20%,yes,no,yes,no,,,no,,no,yes,yes,no,no,no,no,no,no,,,,,,,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,1 very possible,1 savings,yes,yes,no,no,no,yes,yes,no,yes,no,no,,,,no,,,,yes,no,yes,no,yes,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,yes,yes,no,no,yes,yes
