,country,age,gender,marital_status,education_level,heard_of_mobile_money
0,nigeria,22.0,2,1,5,2
1,nigeria,26.0,1,5,5,2
2,nigeria,30.0,2,1,5,1
3,nigeria,20.0,1,1,5,2
4,nigeria,17.0,1,1,4,2
5,nigeria,27.0,2,3,5,1
6,nigeria,34.0,2,3,5,2
7,nigeria,36.0,1,1,3,2
8,nigeria,26.0,2,3,5,2
9,nigeria,31.0,2,3,9,2
10,nigeria,35.0,2,3,5,2
11,nigeria,25.0,1,1,5,2
12,nigeria,30.0,1,1,5,2
13,nigeria,31.0,1,1,11,1
14,nigeria,25.0,2,1,9,1
15,nigeria,19.0,2,3,5,2
16,nigeria,30.0,2,3,11,2
17,nigeria,29.0,1,1,11,1
18,nigeria,27.0,2,3,5,2
19,nigeria,27.0,1,1,10,2
20,nigeria,35.0,1,3,3,2
21,nigeria,30.0,2,2,2,2
22,nigeria,30.0,1,3,2,2
23,nigeria,51.0,1,3,11,2
24,nigeria,30.0,2,1,10,2
25,nigeria,43.0,2,3,5,2
26,nigeria,21.0,2,1,5,1
27,nigeria,33.0,2,3,7,2
28,nigeria,40.0,2,6,4,2
29,nigeria,40.0,1,5,5,2
30,nigeria,22.0,2,1,5,2
31,nigeria,33.0,1,1,5,1
32,nigeria,30.0,2,3,5,2
33,nigeria,29.0,2,3,5,2
34,nigeria,20.0,2,3,5,1
35,nigeria,41.0,2,6,6,2
36,nigeria,26.0,1,3,4,2
37,nigeria,16.0,2,3,5,2
38,nigeria,21.0,2,1,5,1
39,nigeria,32.0,2,1,5,1
40,nigeria,18.0,2,1,4,2
41,nigeria,25.0,2,1,5,1
42,nigeria,66.0,1,3,5,1
43,nigeria,26.0,1,1,10,1
44,nigeria,30.0,1,1,11,1
45,nigeria,52.0,1,2,5,1
46,nigeria,60.0,2,6,4,2
47,nigeria,16.0,2,1,4,2
48,nigeria,26.0,2,1,5,2
49,nigeria,35.0,1,3,6,2
50,nigeria,25.0,1,1,5,2
51,nigeria,30.0,1,1,11,2
52,nigeria,30.0,1,3,5,2
53,nigeria,30.0,2,3,3,2
54,nigeria,28.0,2,3,5,2
55,nigeria,19.0,1,1,4,2
56,nigeria,22.0,1,1,5,2
57,nigeria,38.0,1,3,5,2
58,nigeria,38.0,1,3,5,2
59,nigeria,38.0,2,3,5,2
60,nigeria,35.0,2,1,7,2
61,nigeria,30.0,2,3,5,2
62,nigeria,25.0,2,3,11,2
63,nigeria,18.0,2,1,5,2
64,nigeria,19.0,1,1,5,2
65,nigeria,19.0,2,1,7,2
66,nigeria,32.0,2,1,11,2
67,nigeria,40.0,2,3,5,2
68,nigeria,35.0,1,1,5,1
69,nigeria,26.0,2,1,5,2
70,nigeria,28.0,2,1,5,2
71,nigeria,35.0,1,1,8,2
72,nigeria,28.0,1,1,11,2
73,nigeria,25.0,1,1,5,2
74,nigeria,15.0,1,1,4,2
75,nigeria,50.0,1,1,5,2
76,nigeria,30.0,2,3,5,2
77,nigeria,31.0,2,3,5,2
