,country,age,gender,marital_status,education_level,funnel|exposure,funnel|enrollment,funnel|usage_basic,funnel|usage_sophisticated,funnel|usage,funnel|recent,funnel|longevity,funnel|frequent,funnel|retention
0,nigeria,22.0,2,1,5,False,False,False,False,False,False,False,False,False
1,nigeria,26.0,1,5,5,False,False,False,False,False,False,False,False,False
2,nigeria,30.0,2,1,5,True,False,False,False,False,False,False,False,False
3,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
4,nigeria,17.0,1,1,4,False,False,False,False,False,False,False,False,False
5,nigeria,27.0,2,3,5,True,False,False,False,False,False,False,False,False
6,nigeria,34.0,2,3,5,False,False,False,False,False,False,False,False,False
7,nigeria,36.0,1,1,3,False,False,False,False,False,False,False,False,False
8,nigeria,26.0,2,3,5,False,False,False,False,False,False,False,False,False
9,nigeria,31.0,2,3,9,False,False,False,False,False,False,False,False,False
10,nigeria,35.0,2,3,5,False,False,False,False,False,False,False,False,False
11,nigeria,25.0,1,1,5,False,False,False,False,False,False,False,False,False
12,nigeria,30.0,1,1,5,False,False,False,False,False,False,False,False,False
13,nigeria,31.0,1,1,11,True,False,False,False,False,False,False,False,False
14,nigeria,25.0,2,1,9,True,False,False,False,False,False,False,False,False
15,nigeria,19.0,2,3,5,False,False,False,False,False,False,False,False,False
16,nigeria,30.0,2,3,11,False,False,False,False,False,False,False,False,False
17,nigeria,29.0,1,1,11,True,False,False,False,False,False,False,False,False
18,nigeria,27.0,2,3,5,False,False,False,False,False,False,False,False,False
19,nigeria,27.0,1,1,10,False,False,False,False,False,False,False,False,False
20,nigeria,35.0,1,3,3,False,False,False,False,False,False,False,False,False
21,nigeria,30.0,2,2,2,False,False,False,False,False,False,False,False,False
22,nigeria,30.0,1,3,2,False,False,False,False,False,False,False,False,False
23,nigeria,51.0,1,3,11,False,False,False,False,False,False,False,False,False
24,nigeria,30.0,2,1,10,False,False,False,False,False,False,False,False,False
25,nigeria,43.0,2,3,5,False,False,False,False,False,False,False,False,False
26,nigeria,21.0,2,1,5,True,False,False,False,False,False,False,False,False
27,nigeria,33.0,2,3,7,False,False,False,False,False,False,False,False,False
28,nigeria,40.0,2,6,4,False,False,False,False,False,False,False,False,False
29,nigeria,40.0,1,5,5,False,False,False,False,False,False,False,False,False
30,nigeria,22.0,2,1,5,False,False,False,False,False,False,False,False,False
31,nigeria,33.0,1,1,5,True,False,False,False,False,False,False,False,False
32,nigeria,30.0,2,3,5,False,False,False,False,False,False,False,False,False
33,nigeria,29.0,2,3,5,False,False,False,False,False,False,False,False,False
34,nigeria,20.0,2,3,5,True,False,False,False,False,False,False,False,False
35,nigeria,41.0,2,6,6,False,False,False,False,False,False,False,False,False
36,nigeria,26.0,1,3,4,False,False,False,False,False,False,False,False,False
37,nigeria,16.0,2,3,5,False,False,False,False,False,False,False,False,False
38,nigeria,21.0,2,1,5,True,False,False,False,False,False,False,False,False
39,nigeria,32.0,2,1,5,True,False,False,False,False,False,False,False,False
40,nigeria,18.0,2,1,4,False,False,False,False,False,False,False,False,False
41,nigeria,25.0,2,1,5,True,False,False,False,False,False,False,False,False
42,nigeria,66.0,1,3,5,True,False,False,False,False,False,False,False,False
43,nigeria,26.0,1,1,10,True,False,False,False,False,False,False,False,False
44,nigeria,30.0,1,1,11,True,False,False,False,False,False,False,False,False
45,nigeria,52.0,1,2,5,True,False,False,False,False,False,False,False,False
46,nigeria,60.0,2,6,4,False,False,False,False,False,False,False,False,False
47,nigeria,16.0,2,1,4,False,False,False,False,False,False,False,False,False
48,nigeria,26.0,2,1,5,False,False,False,False,False,False,False,False,False
49,nigeria,35.0,1,3,6,False,False,False,False,False,False,False,False,False
50,nigeria,25.0,1,1,5,False,False,False,False,False,False,False,False,False
51,nigeria,30.0,1,1,11,False,False,False,False,False,False,False,False,False
52,nigeria,30.0,1,3,5,False,False,False,False,False,False,False,False,False
53,nigeria,30.0,2,3,3,False,False,False,False,False,False,False,False,False
54,nigeria,28.0,2,3,5,False,False,False,False,False,False,False,False,False
55,nigeria,19.0,1,1,4,False,False,False,False,False,False,False,False,False
56,nigeria,22.0,1,1,5,False,False,False,False,False,False,False,False,False
57,nigeria,38.0,1,3,5,False,False,False,False,False,False,False,False,False
58,nigeria,38.0,1,3,5,False,False,False,False,False,False,False,False,False
59,nigeria,38.0,2,3,5,False,False,False,False,False,False,False,False,False
60,nigeria,35.0,2,1,7,False,False,False,False,False,False,False,False,False
61,nigeria,30.0,2,3,5,False,False,False,False,False,False,False,False,False
62,nigeria,25.0,2,3,11,False,False,False,False,False,False,False,False,False
63,nigeria,18.0,2,1,5,False,False,False,False,False,False,False,False,False
64,nigeria,19.0,1,1,5,False,False,False,False,False,False,False,False,False
65,nigeria,19.0,2,1,7,False,False,False,False,False,False,False,False,False
66,nigeria,32.0,2,1,11,False,False,False,False,False,False,False,False,False
67,nigeria,40.0,2,3,5,False,False,False,False,False,False,False,False,False
68,nigeria,35.0,1,1,5,True,False,False,False,False,False,False,False,False
69,nigeria,26.0,2,1,5,False,False,False,False,False,False,False,False,False
70,nigeria,28.0,2,1,5,False,False,False,False,False,False,False,False,False
71,nigeria,35.0,1,1,8,False,False,False,False,False,False,False,False,False
72,nigeria,28.0,1,1,11,False,False,False,False,False,False,False,False,False
73,nigeria,25.0,1,1,5,False,False,False,False,False,False,False,False,False
74,nigeria,15.0,1,1,4,False,False,False,False,False,False,False,False,False
75,nigeria,50.0,1,1,5,False,False,False,False,False,False,False,False,False
76,nigeria,30.0,2,3,5,False,False,False,False,False,False,False,False,False
77,nigeria,31.0,2,3,5,False,False,False,False,False,False,False,False,False
78,nigeria,25.0,2,1,5,False,False,False,False,False,False,False,False,False
79,nigeria,33.0,1,1,5,True,False,False,False,False,False,False,False,False
80,nigeria,16.0,2,1,5,True,False,False,False,False,False,False,False,False
81,nigeria,55.0,1,3,4,False,False,False,False,False,False,False,False,False
82,nigeria,35.0,1,1,9,False,False,False,False,False,False,False,False,False
83,nigeria,25.0,1,3,3,False,False,False,False,False,False,False,False,False
84,nigeria,26.0,1,3,4,False,False,False,False,False,False,False,False,False
85,nigeria,17.0,1,1,5,False,False,False,False,False,False,False,False,False
86,nigeria,56.0,1,3,8,False,False,False,False,False,False,False,False,False
87,nigeria,28.0,2,1,5,True,False,False,False,False,False,False,False,False
88,nigeria,26.0,1,1,5,False,False,False,False,False,False,False,False,False
89,nigeria,21.0,2,1,5,False,False,False,False,False,False,False,False,False
90,nigeria,15.0,2,1,4,False,False,False,False,False,False,False,False,False
91,nigeria,40.0,2,3,5,False,False,False,False,False,False,False,False,False
92,nigeria,40.0,1,3,5,False,False,False,False,False,False,False,False,False
93,nigeria,17.0,1,1,5,False,False,False,False,False,False,False,False,False
94,nigeria,30.0,1,1,5,True,False,False,False,False,False,False,False,False
95,nigeria,24.0,2,1,11,True,False,False,False,False,False,False,False,False
